           timestamp           | temperature 
 2021-05-04 13:21:31.036228+00 | 36.50
 2021-05-04 13:16:25.432019+00 | 35.50
 2021-05-04 13:11:21.19099+00  | 34.50
 2021-05-04 13:06:14.691052+00 | 31.50
 2021-05-04 13:01:12.606236+00 | 32.50
 2021-05-04 12:56:10.253723+00 | 37.50
 2021-05-04 12:51:05.887643+00 | 35.00
 2021-05-04 12:46:03.123141+00 | 36.50
 2021-05-04 12:40:59.553227+00 | 36.50
 2021-05-04 12:35:55.413786+00 | 34.50
 2021-05-04 12:30:49.242099+00 | 32.50
 2021-05-04 12:25:44.706287+00 | 28.50
 2021-05-04 12:20:40.11363+00  | 21.00
 2021-05-04 12:15:38.232851+00 | 24.00
 2021-05-04 12:05:31.489077+00 | 26.00
 2021-05-04 12:00:28.461273+00 | 26.00
 2021-05-04 11:55:23.045971+00 | 25.00
 2021-05-04 11:50:20.438817+00 | 27.50
 2021-05-04 11:45:18.130259+00 | 30.50
 2021-05-04 11:40:15.509314+00 | 36.00
 2021-05-04 11:30:09.63114+00  | 37.50
 2021-05-04 11:25:04.17026+00  | 32.00
 2021-05-04 11:20:00.797314+00 | 28.00
 2021-05-04 11:14:55.747291+00 | 30.00
 2021-05-04 11:09:51.58663+00  | 25.00
 2021-05-04 11:04:48.05174+00  | 31.00
 2021-05-04 10:59:42.963688+00 | 25.50
 2021-05-04 10:54:39.865469+00 | 33.00
 2021-05-04 10:49:32.507131+00 | 27.00
 2021-05-04 10:44:29.002896+00 | 21.50
 2021-05-04 10:39:26.167954+00 | 23.00
 2021-05-04 10:34:22.616812+00 | 24.00
 2021-05-04 10:29:19.704971+00 | 25.00
 2021-05-04 10:24:15.135607+00 | 28.00
 2021-05-04 10:19:10.665494+00 | 24.50
 2021-05-04 10:14:07.374578+00 | 24.00
 2021-05-04 10:09:03.01219+00  | 22.50
 2021-05-04 10:04:00.418616+00 | 25.00
 2021-05-04 09:58:58.254685+00 | 28.00
 2021-05-04 09:53:54.532084+00 | 30.50
 2021-05-04 09:48:50.176255+00 | 28.00
 2021-05-04 09:43:45.747718+00 | 23.50
 2021-05-04 09:38:41.514527+00 | 21.50
 2021-05-04 09:23:26.375069+00 | 18.00
 2021-05-04 09:18:22.895727+00 | 18.50
 2021-05-04 09:13:19.529391+00 | 20.00
 2021-05-04 09:08:15.509235+00 | 18.00
 2021-05-04 09:03:12.357513+00 | 19.00
 2021-05-04 08:58:08.076355+00 | 18.50
 2021-05-04 08:53:02.364951+00 | 16.00
 2021-05-04 08:47:58.384816+00 | 15.50
 2021-05-04 08:42:54.930385+00 | 15.50
 2021-05-04 08:37:50.540918+00 | 15.00
 2021-05-04 08:32:44.639375+00 | 14.50
 2021-05-04 08:27:40.875797+00 | 14.00
 2021-05-04 08:22:37.567756+00 | 14.50
 2021-05-04 08:17:33.733915+00 | 13.50
 2021-05-04 08:12:30.341867+00 | 13.50
 2021-05-04 08:07:26.599958+00 | 13.50
 2021-05-04 08:02:22.87727+00  | 13.50
 2021-05-04 07:57:17.059406+00 | 12.50
 2021-05-04 07:52:13.576212+00 | 12.50
 2021-05-04 07:47:09.954987+00 | 12.50
 2021-05-04 07:42:05.490813+00 | 12.00
 2021-05-04 07:36:59.975229+00 | 12.50
 2021-05-04 07:31:56.230159+00 | -127.00
 2021-05-04 07:26:52.519652+00 | 11.50
 2021-05-04 07:21:48.785221+00 | 11.00
 2021-05-04 07:16:45.327837+00 | 10.50
 2021-05-04 07:11:41.737737+00 | 12.00
 2021-05-04 07:06:34.990189+00 | 11.00
 2021-05-04 07:01:31.447668+00 | 11.00
 2021-05-04 06:56:27.849829+00 | 10.50
 2021-05-04 06:51:24.044655+00 | 10.00
 2021-05-04 06:46:20.449027+00 | 9.50
 2021-05-04 06:41:17.003415+00 | 10.00
 2021-05-04 06:36:13.383016+00 | 10.00
 2021-05-04 06:31:09.720718+00 | 9.50
 2021-05-04 06:20:58.14027+00  | 9.50
 2021-05-04 06:15:54.516625+00 | 9.00
 2021-05-04 06:10:50.035625+00 | 9.00
 2021-05-04 06:05:46.347518+00 | 9.00
 2021-05-04 06:00:41.694994+00 | 8.50
 2021-05-04 05:55:38.084705+00 | 8.50
 2021-05-04 05:50:34.424006+00 | 8.50
 2021-05-04 05:45:30.830988+00 | 8.00
 2021-05-04 05:40:27.227771+00 | 8.00
 2021-05-04 05:35:23.535793+00 | 8.00
 2021-05-04 05:30:20.075387+00 | 7.50
 2021-05-04 05:25:15.059859+00 | 7.50
 2021-05-04 05:20:11.855304+00 | 7.50
 2021-05-04 05:15:07.9962+00   | 7.50
 2021-05-04 05:10:01.158671+00 | 7.50
 2021-05-04 05:04:57.546532+00 | 7.00
 2021-05-04 04:59:53.090907+00 | 7.00
 2021-05-04 04:54:49.632743+00 | 7.00
 2021-05-04 04:49:46.079735+00 | 7.00
 2021-05-04 04:44:40.435028+00 | 7.00
 2021-05-04 04:39:36.934425+00 | 7.00
 2021-05-04 04:34:32.181701+00 | 7.00
 2021-05-04 04:29:27.725324+00 | 7.00
 2021-05-04 04:24:24.041035+00 | 7.00
 2021-05-04 04:19:20.453967+00 | 7.00
 2021-05-04 04:14:17.06831+00  | 7.50
 2021-05-04 04:09:11.571264+00 | 7.50
 2021-05-04 04:04:08.137188+00 | 7.50
 2021-05-04 03:59:04.560344+00 | 7.50
 2021-05-04 03:54:01.045477+00 | 7.50
 2021-05-04 03:48:55.507434+00 | 7.50
 2021-05-04 03:43:51.915322+00 | 7.50
 2021-05-04 03:38:48.387661+00 | 7.50
 2021-05-04 03:33:44.129822+00 | 7.50
 2021-05-04 03:28:40.609471+00 | 7.50
 2021-05-04 03:23:36.01934+00  | 7.50
 2021-05-04 03:18:32.563194+00 | 7.50
 2021-05-04 03:13:29.177614+00 | 7.50
 2021-05-04 03:08:25.59802+00  | 7.50
 2021-05-04 03:03:22.272334+00 | 7.50
 2021-05-04 02:58:18.76345+00  | 7.50
 2021-05-04 02:53:15.197102+00 | 7.50
 2021-05-04 02:48:09.709515+00 | 7.50
 2021-05-04 02:43:06.188465+00 | 7.50
 2021-05-04 02:38:02.818167+00 | 7.50
 2021-05-04 02:32:59.262023+00 | 7.50
 2021-05-04 02:27:53.413256+00 | 7.50
 2021-05-04 02:22:44.968579+00 | 7.50
 2021-05-04 02:17:40.392111+00 | 8.00
 2021-05-04 02:12:36.880041+00 | 8.00
 2021-05-04 02:07:33.358647+00 | 8.00
 2021-05-04 02:02:29.637305+00 | 8.00
 2021-05-04 01:57:24.275165+00 | 8.00
 2021-05-04 01:52:20.648668+00 | 8.00
 2021-05-04 01:47:15.163449+00 | 8.50
 2021-05-04 01:42:10.522559+00 | 8.50
 2021-05-04 01:37:06.955199+00 | 8.50
 2021-05-04 01:32:03.418072+00 | 8.50
 2021-05-04 01:26:59.79165+00  | 8.50
 2021-05-04 01:21:56.237703+00 | 8.50
 2021-05-04 01:16:52.739366+00 | 8.50
 2021-05-04 01:11:49.130635+00 | 9.00
 2021-05-04 01:06:44.079071+00 | 9.00
 2021-05-04 01:01:39.877588+00 | 9.00
 2021-05-04 00:56:36.097133+00 | 9.00
 2021-05-04 00:51:32.666053+00 | 9.00
 2021-05-04 00:46:29.18583+00  | 9.00
 2021-05-04 00:41:24.574849+00 | 9.00
 2021-05-04 00:36:20.905461+00 | 8.50
 2021-05-04 00:31:17.305015+00 | 8.50
 2021-05-04 00:26:13.940034+00 | 8.50
 2021-05-04 00:21:10.417844+00 | 9.00
 2021-05-04 00:16:06.936564+00 | 9.00
 2021-05-04 00:11:03.521451+00 | 9.00
 2021-05-04 00:05:59.967966+00 | 9.00
 2021-05-04 00:00:55.583059+00 | 9.00
 2021-05-03 23:55:52.094953+00 | 9.00
 2021-05-03 23:50:48.430825+00 | 9.00
 2021-05-03 23:45:44.678727+00 | 9.00
 2021-05-03 23:40:41.148876+00 | 9.00
 2021-05-03 23:35:37.774402+00 | 9.00
 2021-05-03 23:30:33.91595+00  | 9.00
 2021-05-03 23:25:24.355821+00 | 9.00
 2021-05-03 23:20:21.070942+00 | 9.00
 2021-05-03 23:15:17.190051+00 | 9.00
 2021-05-03 23:10:11.675289+00 | 9.00
 2021-05-03 23:05:08.203169+00 | 9.00
 2021-05-03 23:00:04.595223+00 | 9.00
 2021-05-03 22:55:00.978335+00 | 9.00
 2021-05-03 22:49:57.417161+00 | 9.00
 2021-05-03 22:44:53.902043+00 | 9.00
 2021-05-03 22:39:50.468858+00 | 9.00
 2021-05-03 22:34:47.004634+00 | 9.00
 2021-05-03 22:29:43.313824+00 | 9.00
 2021-05-03 22:24:38.67056+00  | 9.00
 2021-05-03 22:19:34.040031+00 | 9.00
 2021-05-03 22:14:30.435117+00 | 9.00
 2021-05-03 22:09:26.822894+00 | 9.00
 2021-05-03 22:04:23.449276+00 | 9.00
 2021-05-03 21:59:19.883996+00 | 9.00
 2021-05-03 21:54:16.281844+00 | 9.00
 2021-05-03 21:49:12.817168+00 | 9.00
 2021-05-03 21:44:09.348288+00 | 9.00
 2021-05-03 21:39:05.961837+00 | 9.00
 2021-05-03 21:34:02.21459+00  | 9.00
 2021-05-03 21:28:56.622151+00 | 9.00
 2021-05-03 21:23:52.871648+00 | 9.00
 2021-05-03 21:18:49.270047+00 | 9.00
 2021-05-03 21:13:45.51211+00  | 9.00
 2021-05-03 21:08:38.923457+00 | 9.00
 2021-05-03 21:03:35.486484+00 | 9.00
 2021-05-03 20:58:29.699608+00 | 9.00
 2021-05-03 20:53:26.377832+00 | 9.00
 2021-05-03 20:48:22.743057+00 | 9.00
 2021-05-03 20:43:19.381595+00 | 9.00
 2021-05-03 20:38:13.868429+00 | 9.00
 2021-05-03 20:33:10.192352+00 | 9.00
 2021-05-03 20:28:05.635205+00 | 9.00
 2021-05-03 20:23:02.031305+00 | 9.00
 2021-05-03 20:17:58.451695+00 | 9.00
 2021-05-03 20:12:55.073283+00 | 8.50
 2021-05-03 20:07:51.637992+00 | 9.00
 2021-05-03 20:02:48.248534+00 | 8.50
 2021-05-03 19:57:44.744723+00 | 8.50
 2021-05-03 19:52:41.276798+00 | 8.50
 2021-05-03 19:47:36.542039+00 | 8.50
 2021-05-03 19:42:32.978748+00 | 8.50
 2021-05-03 19:37:29.463624+00 | 8.50
 2021-05-03 19:32:23.920739+00 | 8.50
 2021-05-03 19:27:18.39699+00  | 9.00
 2021-05-03 19:22:15.185613+00 | 9.00
 2021-05-03 19:17:11.84822+00  | 9.50
 2021-05-03 19:12:08.45861+00  | 10.00
 2021-05-03 19:07:02.977959+00 | 10.00
 2021-05-03 19:01:59.428453+00 | 10.50
 2021-05-03 18:56:55.141202+00 | 11.00
 2021-05-03 18:51:51.496574+00 | 11.50
 2021-05-03 18:46:48.11505+00  | 12.00
 2021-05-03 18:41:44.651131+00 | 12.00
 2021-05-03 18:36:41.355269+00 | 12.00
 2021-05-03 18:31:38.278948+00 | 13.00
 2021-05-03 18:26:32.70525+00  | 13.00
 2021-05-03 18:21:27.310625+00 | 13.00
 2021-05-03 18:16:22.142998+00 | 10.50
 2021-05-03 18:11:18.6218+00   | 10.50
 2021-05-03 18:06:15.14188+00  | 10.50
 2021-05-03 18:01:11.629943+00 | 10.50
 2021-05-03 17:56:08.110435+00 | 10.50
 2021-05-03 17:51:01.182782+00 | 10.50
 2021-05-03 17:45:55.918497+00 | 10.50
 2021-05-03 17:40:52.354162+00 | 10.50
 2021-05-03 17:35:47.874352+00 | 10.50
 2021-05-03 17:30:44.22482+00  | 10.50
 2021-05-03 17:25:40.622825+00 | 10.50
 2021-05-03 17:20:36.931071+00 | 10.50
 2021-05-03 17:15:33.461949+00 | 10.50
 2021-05-03 17:10:29.96643+00  | 10.50
 2021-05-03 17:05:26.347223+00 | 10.00
 2021-05-03 17:00:23.060968+00 | 10.50
 2021-05-03 16:55:18.371201+00 | 10.00
 2021-05-03 16:50:12.844854+00 | 10.00
 2021-05-03 16:45:05.066721+00 | 10.00
 2021-05-03 16:40:01.608354+00 | 10.00
 2021-05-03 16:34:57.894878+00 | 10.00
 2021-05-03 16:29:51.433223+00 | 10.00
 2021-05-03 16:24:48.035139+00 | 10.00
 2021-05-03 16:19:42.593791+00 | 10.00
 2021-05-03 16:14:39.368692+00 | 10.00
 2021-05-03 16:09:35.846383+00 | 10.00
 2021-05-03 16:04:32.256666+00 | 10.00
 2021-05-03 15:59:28.752972+00 | 10.00
 2021-05-03 15:54:25.227762+00 | 10.00
 2021-05-03 15:49:21.748255+00 | 10.00
 2021-05-03 15:44:18.568499+00 | 10.00
 2021-05-03 15:39:16.241617+00 | 12.50
 2021-05-03 15:33:51.537658+00 | 18.50
 2021-05-03 15:33:15.289184+00 | 18.50
 2021-05-03 15:32:49.629314+00 | 18.50
 2021-05-03 15:32:04.418601+00 | 18.50
 2021-05-03 15:31:19.041991+00 | 18.50
 2021-05-03 15:31:04.931692+00 | 18.50
 2021-05-03 15:30:50.827799+00 | 18.50
 2021-05-03 15:30:36.730267+00 | 18.50
 2021-05-03 15:30:22.624156+00 | 18.50
 2021-05-03 15:30:08.518647+00 | 18.50
 2021-05-03 15:29:53.365065+00 | 18.50
 2021-05-03 15:29:38.284923+00 | 18.50
 2021-05-03 15:29:17.480064+00 | 18.50
 2021-05-03 15:29:02.311316+00 | 18.50
 2021-05-03 15:28:43.68681+00  | 18.50
 2021-05-03 15:28:28.61351+00  | 18.50
 2021-05-03 15:28:13.545035+00 | 18.50
 2021-05-03 15:27:58.485226+00 | 18.50
 2021-05-03 15:27:10.16016+00  | 18.50
 2021-05-03 15:26:31.68313+00  | 18.50
 2021-05-03 15:26:17.579967+00 | 18.50
 2021-05-03 15:26:00.510185+00 | 18.50
 2021-05-03 15:25:30.368139+00 | 18.50
 2021-05-03 15:25:15.297644+00 | 18.50
 2021-05-03 15:24:29.04341+00  | 18.50
 2021-05-03 15:24:13.876987+00 | 18.50
 2021-05-03 15:23:58.809727+00 | 18.50
 2021-05-03 15:23:44.707777+00 | 18.50
 2021-05-03 15:23:30.598707+00 | 18.50
 2021-05-03 15:23:15.525754+00 | 18.50
 2021-05-03 15:23:01.418615+00 | 18.50
 2021-05-03 15:22:46.35235+00  | 18.50
 2021-05-03 15:22:31.276193+00 | 18.50
 2021-05-03 15:22:10.656651+00 | 18.50
 2021-05-03 15:21:38.416256+00 | 18.50
 2021-05-03 15:21:23.340859+00 | 18.50
 2021-05-03 15:20:50.544581+00 | 18.50
 2021-05-03 15:20:36.433399+00 | 18.50
 2021-05-03 15:19:52.667042+00 | 18.50
 2021-05-03 15:19:37.600086+00 | 18.50
 2021-05-03 15:19:22.522857+00 | 18.50
 2021-05-03 15:19:07.450331+00 | 18.50
 2021-05-03 15:18:37.229576+00 | 19.00
 2021-05-03 15:18:22.148778+00 | 19.00
 2021-05-03 15:18:06.986992+00 | 19.00
 2021-05-03 15:17:49.908791+00 | 19.00
 2021-05-03 15:17:34.838325+00 | 19.00
 2021-05-03 15:17:19.671559+00 | 19.00
 2021-05-03 15:16:48.49735+00  | 19.50
 2021-05-03 15:16:34.395747+00 | 19.50
 2021-05-03 15:16:19.32873+00  | 19.50
 2021-05-03 15:15:52.821819+00 | 19.50
 2021-05-03 15:15:37.670591+00 | 20.00
 2021-05-03 15:15:07.519399+00 | 20.50
 2021-05-03 15:14:53.408299+00 | 22.00
 2021-05-03 15:14:38.341959+00 | 22.50
 2021-05-03 15:14:23.274554+00 | 19.50
(352 rows)

